"gene","pct.1","pct.2","description","pct_treated_cells_minus_pct_ctrl"
"RBM17",0.108,0.333,"RNA binding motif protein 17 [Source:HGNC Symbol;Acc:HGNC:16944]",0.22500000000000003
"VPS29",0.108,0.333,"VPS29 retromer complex component [Source:HGNC Symbol;Acc:HGNC:14340]",0.22500000000000003
"ELMSAN1",0.108,0.333,"ELM2 and Myb/SANT domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19853]",0.22500000000000003
"PAFAH1B1",0.108,0.333,"platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]",0.22500000000000003
"TRIM28",0.108,0.333,"tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384]",0.22500000000000003
"OSBPL10",0.147,0.37,"oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]",0.223
"TRAF3IP3",0.147,0.37,"TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]",0.223
"SFPQ",0.186,0.407,"splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]",0.22099999999999997
"MRPS25",0.039,0.259,"mitochondrial ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:14511]",0.22
"ATOX1",0.039,0.259,"antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]",0.22
"ECHDC1",0.039,0.259,"ethylmalonyl-CoA decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:21489]",0.22
"TRIM4",0.039,0.259,"tripartite motif containing 4 [Source:HGNC Symbol;Acc:HGNC:16275]",0.22
"SRPRA",0.039,0.259,"SRP receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:11307]",0.22
"KDM6B",0.039,0.259,"lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]",0.22
"DKC1",0.039,0.259,"dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]",0.22
"BTG2",0.225,0.444,"BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]",0.219
"PRKDC",0.078,0.296,"protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]",0.21799999999999997
"ANKRD17",0.078,0.296,"ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]",0.21799999999999997
"ST3GAL5",0.078,0.296,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]",0.21799999999999997
"SP3",0.078,0.296,"Sp3 transcription factor [Source:HGNC Symbol;Acc:HGNC:11208]",0.21799999999999997
"TPD52",0.078,0.296,"tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]",0.21799999999999997
"ZMYM2",0.078,0.296,"zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]",0.21799999999999997
"CREBBP",0.078,0.296,"CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]",0.21799999999999997
"CREB1",0.078,0.296,"cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2345]",0.21799999999999997
"DUSP22",0.078,0.296,"dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]",0.21799999999999997
"CCT6A",0.078,0.296,"chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620]",0.21799999999999997
"EIF4H",0.078,0.296,"eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]",0.21799999999999997
"FAM3C",0.078,0.296,"family with sequence similarity 3 member C [Source:HGNC Symbol;Acc:HGNC:18664]",0.21799999999999997
"METAP2",0.078,0.296,"methionyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:16672]",0.21799999999999997
"PPP4R3A",0.078,0.296,"protein phosphatase 4 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:20219]",0.21799999999999997
"SIRT7",0.078,0.296,"sirtuin 7 [Source:HGNC Symbol;Acc:HGNC:14935]",0.21799999999999997
"NDUFS7",0.118,0.333,"NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]",0.21500000000000002
"NHLRC3",0.118,0.333,"NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]",0.21500000000000002
"PSMC5",0.118,0.333,"proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]",0.21500000000000002
"TRIM22",0.118,0.333,"tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379]",0.21500000000000002
"WDR6",0.118,0.333,"WD repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:12758]",0.21500000000000002
"MCM5",0.118,0.333,"minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]",0.21500000000000002
"CEPT1",0.118,0.333,"choline/ethanolamine phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24289]",0.21500000000000002
"ATF6B",0.118,0.333,"activating transcription factor 6 beta [Source:HGNC Symbol;Acc:HGNC:2349]",0.21500000000000002
"C16orf74",0.157,0.37,"chromosome 16 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:23362]",0.213
"LASP1",0.049,0.259,"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]",0.21000000000000002
"STX4",0.049,0.259,"syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]",0.21000000000000002
"ELOVL1",0.049,0.259,"ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]",0.21000000000000002
"ZNF326",0.049,0.259,"zinc finger protein 326 [Source:HGNC Symbol;Acc:HGNC:14104]",0.21000000000000002
"ZEB2",0.049,0.259,"zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]",0.21000000000000002
"RETREG2",0.049,0.259,"reticulophagy regulator family member 2 [Source:HGNC Symbol;Acc:HGNC:28450]",0.21000000000000002
"UBE2E1",0.049,0.259,"ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]",0.21000000000000002
"SLC25A4",0.049,0.259,"solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]",0.21000000000000002
"CLPTM1L",0.049,0.259,"CLPTM1 like [Source:HGNC Symbol;Acc:HGNC:24308]",0.21000000000000002
"SGCE",0.049,0.259,"sarcoglycan epsilon [Source:HGNC Symbol;Acc:HGNC:10808]",0.21000000000000002
"ARPC1A",0.049,0.259,"actin related protein 2/3 complex subunit 1A [Source:HGNC Symbol;Acc:HGNC:703]",0.21000000000000002
"PLEKHF2",0.049,0.259,"pleckstrin homology and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20757]",0.21000000000000002
"SH3GLB2",0.049,0.259,"SH3 domain containing GRB2 like, endophilin B2 [Source:HGNC Symbol;Acc:HGNC:10834]",0.21000000000000002
"COPB1",0.049,0.259,"coatomer protein complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]",0.21000000000000002
"VPS11",0.049,0.259,"VPS11 core subunit of CORVET and HOPS complexes [Source:HGNC Symbol;Acc:HGNC:14583]",0.21000000000000002
"GLIPR1",0.049,0.259,"GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]",0.21000000000000002
"IREB2",0.049,0.259,"iron responsive element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6115]",0.21000000000000002
"METTL9",0.049,0.259,"methyltransferase like 9 [Source:HGNC Symbol;Acc:HGNC:24586]",0.21000000000000002
"USP22",0.049,0.259,"ubiquitin specific peptidase 22 [Source:HGNC Symbol;Acc:HGNC:12621]",0.21000000000000002
"PTOV1",0.049,0.259,"PTOV1 extended AT-hook containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:9632]",0.21000000000000002
"BCAP31",0.049,0.259,"B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]",0.21000000000000002
"NDUFS6",0.088,0.296,"NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]",0.208
"GNG7",0.088,0.296,"G protein subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:4410]",0.208
"SEPTIN1",0.088,0.296,"septin 1 [Source:HGNC Symbol;Acc:HGNC:2879]",0.208
"ACADVL",0.088,0.296,"acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]",0.208
"EPB41",0.088,0.296,"erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]",0.208
"CDKN2D",0.088,0.296,"cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]",0.208
"NRDC",0.088,0.296,"nardilysin convertase [Source:HGNC Symbol;Acc:HGNC:7995]",0.208
"MCOLN2",0.088,0.296,"mucolipin 2 [Source:HGNC Symbol;Acc:HGNC:13357]",0.208
"UFL1",0.088,0.296,"UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]",0.208
"TRIM44",0.088,0.296,"tripartite motif containing 44 [Source:HGNC Symbol;Acc:HGNC:19016]",0.208
"NDUFV1",0.088,0.296,"NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]",0.208
"TAOK3",0.088,0.296,"TAO kinase 3 [Source:HGNC Symbol;Acc:HGNC:18133]",0.208
"THOC2",0.088,0.296,"THO complex 2 [Source:HGNC Symbol;Acc:HGNC:19073]",0.208
"WTAP",0.127,0.333,"WT1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]",0.20600000000000002
"PAPOLA",0.127,0.333,"poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]",0.20600000000000002
"RPS29",0.794,1,"ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]",0.20599999999999996
"PPP2R5C",0.167,0.37,"protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]",0.20299999999999999
"GSAP",0.167,0.37,"gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042]",0.20299999999999999
"PRPF4B",0.167,0.37,"pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]",0.20299999999999999
"CNOT2",0.059,0.259,"CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]",0.2
"TTF1",0.059,0.259,"transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:12397]",0.2
"HHEX",0.059,0.259,"hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]",0.2
"MAPRE2",0.059,0.259,"microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]",0.2
"SIAH2",0.059,0.259,"siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]",0.2
"REPIN1",0.059,0.259,"replication initiator 1 [Source:HGNC Symbol;Acc:HGNC:17922]",0.2
"PEX16",0.059,0.259,"peroxisomal biogenesis factor 16 [Source:HGNC Symbol;Acc:HGNC:8857]",0.2
"PIK3CD",0.059,0.259,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]",0.2
"S100PBP",0.059,0.259,"S100P binding protein [Source:HGNC Symbol;Acc:HGNC:25768]",0.2
"PSMD4",0.059,0.259,"proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]",0.2
"MEF2D",0.059,0.259,"myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]",0.2
"MFF",0.059,0.259,"mitochondrial fission factor [Source:HGNC Symbol;Acc:HGNC:24858]",0.2
"ARF4",0.059,0.259,"ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]",0.2
"PHF1",0.059,0.259,"PHD finger protein 1 [Source:HGNC Symbol;Acc:HGNC:8919]",0.2
"PLEC",0.059,0.259,"plectin [Source:HGNC Symbol;Acc:HGNC:9069]",0.2
"CELF1",0.059,0.259,"CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]",0.2
"PPP1R14B",0.059,0.259,"protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]",0.2
"ECI1",0.059,0.259,"enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]",0.2
"MIEN1",0.059,0.259,"migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28230]",0.2
"NFIC",0.059,0.259,"nuclear factor I C [Source:HGNC Symbol;Acc:HGNC:7786]",0.2
"PIN1",0.059,0.259,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]",0.2
"PTPRA",0.059,0.259,"protein tyrosine phosphatase receptor type A [Source:HGNC Symbol;Acc:HGNC:9664]",0.2
"MICAL3",0.059,0.259,"microtubule associated monooxygenase, calponin and LIM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24694]",0.2
"WAS",0.059,0.259,"WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]",0.2
"IDH3G",0.059,0.259,"isocitrate dehydrogenase (NAD(+)) 3 gamma [Source:HGNC Symbol;Acc:HGNC:5386]",0.2
"EIF1B",0.245,0.444,"eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]",0.199
"CPEB4",0.098,0.296,"cytoplasmic polyadenylation element binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21747]",0.19799999999999998
"NDUFS8",0.098,0.296,"NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715]",0.19799999999999998
"FGFR1OP2",0.098,0.296,"FGFR1 oncogene partner 2 [Source:HGNC Symbol;Acc:HGNC:23098]",0.19799999999999998
"KIF5B",0.098,0.296,"kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]",0.19799999999999998
"HADHA",0.098,0.296,"hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]",0.19799999999999998
"AMFR",0.098,0.296,"autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]",0.19799999999999998
"ILF3",0.098,0.296,"interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]",0.19799999999999998
"BABAM1",0.098,0.296,"BRISC and BRCA1 A complex member 1 [Source:HGNC Symbol;Acc:HGNC:25008]",0.19799999999999998
"TAZ",0.098,0.296,"tafazzin [Source:HGNC Symbol;Acc:HGNC:11577]",0.19799999999999998
"H3F3B",0.765,0.963,"H3 histone family member 3B [Source:HGNC Symbol;Acc:HGNC:4765]",0.19799999999999995
"CIITA",0.137,0.333,"class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]",0.196
"CNPY3",0.137,0.333,"canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]",0.196
"GSTK1",0.137,0.333,"glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]",0.196
"MAP3K1",0.137,0.333,"mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]",0.196
"STX7",0.176,0.37,"syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]",0.194
"DHX30",0.029,0.222,"DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]",0.193
"RNF10",0.029,0.222,"ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]",0.193
"SIN3A",0.029,0.222,"SIN3 transcription regulator family member A [Source:HGNC Symbol;Acc:HGNC:19353]",0.193
"SH3GL1",0.029,0.222,"SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]",0.193
"BRD2",0.216,0.407,"bromodomain containing 2 [Source:HGNC Symbol;Acc:HGNC:1103]",0.19099999999999998
"POLR2B",0.069,0.259,"RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]",0.19
"WBP1",0.069,0.259,"WW domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12737]",0.19
"PRKRIP1",0.069,0.259,"PRKR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21894]",0.19
"ARHGAP9",0.069,0.259,"Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:HGNC:14130]",0.19
"KMT2B",0.069,0.259,"lysine methyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:15840]",0.19
"HPCAL1",0.069,0.259,"hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]",0.19
"STARD7",0.069,0.259,"StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]",0.19
"LY75",0.069,0.259,"lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]",0.19
"PDE7A",0.069,0.259,"phosphodiesterase 7A [Source:HGNC Symbol;Acc:HGNC:8791]",0.19
"LLPH",0.069,0.259,"LLP homolog, long-term synaptic facilitation factor [Source:HGNC Symbol;Acc:HGNC:28229]",0.19
"ANAPC5",0.069,0.259,"anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]",0.19
"MZT1",0.069,0.259,"mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]",0.19
"RBM23",0.069,0.259,"RNA binding motif protein 23 [Source:HGNC Symbol;Acc:HGNC:20155]",0.19
"STXBP2",0.069,0.259,"syntaxin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11445]",0.19
"AKT2",0.069,0.259,"AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]",0.19
"RBBP7",0.069,0.259,"RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]",0.19
"HUWE1",0.069,0.259,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]",0.19
"PUM1",0.108,0.296,"pumilio RNA binding family member 1 [Source:HGNC Symbol;Acc:HGNC:14957]",0.188
"RBM26",0.108,0.296,"RNA binding motif protein 26 [Source:HGNC Symbol;Acc:HGNC:20327]",0.188
"SGSM3",0.108,0.296,"small G protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:25228]",0.188
"SNAP23",0.108,0.296,"synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]",0.188
"RABEP2",0.108,0.296,"rabaptin, RAB GTPase binding effector protein 2 [Source:HGNC Symbol;Acc:HGNC:24817]",0.188
"LSR",0.108,0.296,"lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]",0.188
"MT-ND2",0.814,1,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]",0.18600000000000005
"PSMA3-AS1",0.147,0.333,"PSMA3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26445]",0.18600000000000003
"STAT6",0.147,0.333,"signal transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368]",0.18600000000000003
"HNRNPDL",0.52,0.704,"heterogeneous nuclear ribonucleoprotein D like [Source:HGNC Symbol;Acc:HGNC:5037]",0.18399999999999994
"JOSD2",0.039,0.222,"Josephin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28853]",0.183
"AIDA",0.039,0.222,"axin interactor, dorsalization associated [Source:HGNC Symbol;Acc:HGNC:25761]",0.183
"NCOA1",0.039,0.222,"nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:7668]",0.183
"CYB561D2",0.039,0.222,"cytochrome b561 family member D2 [Source:HGNC Symbol;Acc:HGNC:30253]",0.183
"CYB561D2",0.039,0.222,"cytochrome b561 family member D2 [Source:NCBI gene;Acc:11068]",0.183
"TFG",0.039,0.222,"trafficking from ER to golgi regulator [Source:HGNC Symbol;Acc:HGNC:11758]",0.183
"NPHP3",0.039,0.222,"nephrocystin 3 [Source:HGNC Symbol;Acc:HGNC:7907]",0.183
"ARFGEF1",0.039,0.222,"ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]",0.183
"UBQLN1",0.039,0.222,"ubiquilin 1 [Source:HGNC Symbol;Acc:HGNC:12508]",0.183
"TTC17",0.039,0.222,"tetratricopeptide repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:25596]",0.183
"CCDC84",0.039,0.222,"coiled-coil domain containing 84 [Source:HGNC Symbol;Acc:HGNC:30460]",0.183
"MRPL42",0.039,0.222,"mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493]",0.183
"MON1B",0.039,0.222,"MON1 homolog B, secretory trafficking associated [Source:HGNC Symbol;Acc:HGNC:25020]",0.183
"MRGBP",0.039,0.222,"MRG domain binding protein [Source:HGNC Symbol;Acc:HGNC:15866]",0.183
"LTN1",0.039,0.222,"listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082]",0.183
"ACADM",0.078,0.259,"acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]",0.181
"FAM204A",0.078,0.259,"family with sequence similarity 204 member A [Source:HGNC Symbol;Acc:HGNC:25794]",0.181
"ARHGAP44",0.078,0.259,"Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]",0.181
"MOB3A",0.078,0.259,"MOB kinase activator 3A [Source:HGNC Symbol;Acc:HGNC:29802]",0.181
"MARCH7",0.078,0.259,"membrane associated ring-CH-type finger 7 [Source:HGNC Symbol;Acc:HGNC:17393]",0.181
"SP140L",0.078,0.259,"SP140 nuclear body protein like [Source:HGNC Symbol;Acc:HGNC:25105]",0.181
"BAG6",0.078,0.259,"BCL2 associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]",0.181
"NFATC2IP",0.078,0.259,"nuclear factor of activated T cells 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:25906]",0.181
"PQBP1",0.078,0.259,"polyglutamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9330]",0.181
"AKIRIN1",0.078,0.259,"akirin 1 [Source:HGNC Symbol;Acc:HGNC:25744]",0.181
"MAP3K2",0.078,0.259,"mitogen-activated protein kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6854]",0.181
"EEF1E1",0.078,0.259,"eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:HGNC:3212]",0.181
"SERINC1",0.078,0.259,"serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]",0.181
"ASAH1",0.078,0.259,"N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]",0.181
"ATXN2L",0.078,0.259,"ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326]",0.181
"MLLT6",0.078,0.259,"MLLT6, PHD finger containing [Source:HGNC Symbol;Acc:HGNC:7138]",0.181
"DBP",0.078,0.259,"D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]",0.181
"MAGOH",0.118,0.296,"mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]",0.178
"BIRC2",0.118,0.296,"baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]",0.178
"NDUFB1",0.118,0.296,"NADH:ubiquinone oxidoreductase subunit B1 [Source:HGNC Symbol;Acc:HGNC:7695]",0.178
"TRBC2",0.304,0.481,"T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:HGNC:12157]",0.177
"ARHGEF1",0.157,0.333,"Rho guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:681]",0.17600000000000002
"GNG10",0.049,0.222,"G protein subunit gamma 10 [Source:HGNC Symbol;Acc:HGNC:4402]",0.173
"PAGR1",0.049,0.222,"PAXIP1 associated glutamate rich protein 1 [Source:HGNC Symbol;Acc:HGNC:28707]",0.173
"EMC10",0.049,0.222,"ER membrane protein complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:27609]",0.173
"PVT1",0.049,0.222,"Pvt1 oncogene [Source:HGNC Symbol;Acc:HGNC:9709]",0.173
"PEF1",0.049,0.222,"penta-EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30009]",0.173
"AGO3",0.049,0.222,"argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]",0.173
"ATP2B4",0.049,0.222,"ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]",0.173
"PRKRA",0.049,0.222,"protein activator of interferon induced protein kinase EIF2AK2 [Source:HGNC Symbol;Acc:HGNC:9438]",0.173
"COMMD8",0.049,0.222,"COMM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26036]",0.173
"PPP3CA",0.049,0.222,"protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]",0.173
"EXOC3",0.049,0.222,"exocyst complex component 3 [Source:HGNC Symbol;Acc:HGNC:30378]",0.173
"PRKAA1",0.049,0.222,"protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]",0.173
"CCNH",0.049,0.222,"cyclin H [Source:HGNC Symbol;Acc:HGNC:1594]",0.173
"ASL",0.049,0.222,"argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]",0.173
"SAMD9",0.049,0.222,"sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]",0.173
"DECR1",0.049,0.222,"2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]",0.173
"ZFP91",0.049,0.222,"ZFP91 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:14983]",0.173
"LTBP3",0.049,0.222,"latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716]",0.173
"SNRNP35",0.049,0.222,"small nuclear ribonucleoprotein U11/U12 subunit 35 [Source:HGNC Symbol;Acc:HGNC:30852]",0.173
"KAT8",0.049,0.222,"lysine acetyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:17933]",0.173
"TMEM170A",0.049,0.222,"transmembrane protein 170A [Source:HGNC Symbol;Acc:HGNC:29577]",0.173
"NCBP3",0.049,0.222,"nuclear cap binding subunit 3 [Source:HGNC Symbol;Acc:HGNC:24612]",0.173
"MRPL27",0.049,0.222,"mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:14483]",0.173
"SHFL",0.049,0.222,"shiftless antiviral inhibitor of ribosomal frameshifting [Source:HGNC Symbol;Acc:HGNC:25649]",0.173
"DNM2",0.049,0.222,"dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]",0.173
"JAK3",0.049,0.222,"Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]",0.173
"ZNF585A",0.049,0.222,"zinc finger protein 585A [Source:HGNC Symbol;Acc:HGNC:26305]",0.173
"TAF1",0.049,0.222,"TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:11535]",0.173
"AIMP1",0.088,0.259,"aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]",0.171
"POLR2C",0.088,0.259,"RNA polymerase II subunit C [Source:HGNC Symbol;Acc:HGNC:9189]",0.171
"ANKRD13D",0.088,0.259,"ankyrin repeat domain 13D [Source:HGNC Symbol;Acc:HGNC:27880]",0.171
"PSMC1",0.088,0.259,"proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]",0.171
"NLRC5",0.088,0.259,"NLR family CARD domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29933]",0.171
